make,car_model,depth,height,width
BMW,M4 COUPE M DKG 2DR COUPE 2014,98,48,73
BMW,M5 M MDK 4DR SALOON 2011,113,52,82
BMW,M550D XDRIVE AUTOMATIC 3.0 TDI 280KW 4DR SALOON 2012,113,51,84
BMW,X1 SDRIVE - XLINE 18D 5DR 4X4 2013,87,74,93
BMW,X1 SDRIVE 20D EDE 5DR 4X4 2012,87,74,93
BMW,X1 XDRIVE 20D AUTOMATIC 2.0D 5DR 4X4 2009,87,74,93
BMW,X1 XDRIVE 28I 5DR 4X4 2011,87,74,93
BMW,X3 2.0D 5DR 4X4 2008,93,85,95
BMW,X3 3.0 D 5DR 4X4 2009,93,85,95
BMW,X3 3.0 SD 5DR 4X4 2008,93,85,95
BMW,X3 SDRIVE 18D 5DR 4X4 2013,94,80,109
BMW,X3 SE 2.0 5DR 4X4,92,85,95
BMW,X3 XDRIVE 2.0I 5DR 4X4 2012,94,80,109
BMW,X3 XDRIVE 20D 5DR 4X4 2010,94,80,109
BMW,X4 XDRIVE 35D STEPTRONIC 5DR 4X4 2014,92,71,109
BMW,X5 XDRIVE 30D AUTOMATIK 5DR 4X4 2010,102,81,110
BMW,X5 XDRIVE 30D BLUE PERFORMANCE 5DR 4X4 2013,101,81,109
BMW,X6 ACTIVE HYBRID 5DR 4X4 2010,100,69,109
BMW,X6 XDRIVE 3.5D 5DR 4X4 2008,100,69,109
BMW,Z4 SDRIVE 20I AUTOMATIC 2DR COUPE 2014,82,36,66
BMW,Z4 SDRIVE 28I 180 KW 2DR CONVERTIBLE 2012,82,36,66
BMW,Z4 SDRIVE35I DKG 2DR CONVERTIBLE 2009,82,36,66
Brilliance,BS4 1.6 4DR SALOON 2009,93,46,96
Subaru,BRZ 2.0I SPORT 2DR COUPE 2014,79,38,107
Mercedes Benz,C 180 COUPÉ2DR COUPE 2016,105,43,88
Mercedes Benz,C 200 2DR CONVERTIBLE 2017,90,39,50
Mercedes Benz,C 200 4DR SALOON 2018,100,46,95
Mercedes Benz,C 200 D T-MODELL EXCLUSIVE 5DR ESTATE 2016,99,71,94
Mercedes Benz,C 220 4DR SALOON 2018,100,45,95
Mercedes Benz,C 220 5DR ESTATE 2018,99,71,94
Mercedes Benz,C 220 D COUPÉ2DR COUPE 2016,105,43,88
Mercedes Benz,C 250 D AVANTGARDE 7G-TRONIC PLUS 4DR SALOON 2016,100,45,95
Toyota,C-HR 1.2 5DR SALOON 2017,82,79,71
Toyota,C-HR 1.8 HYBRID 5DR SALOON 2017,82,79,71
Toyota,C-HR 2.0 HYBRID 5DR SALOON 2020,76,66,95
Ford,C-MAX 1.5 ECOBOOST START/STOPP TITANIUM 5DR MPV 2015,86,92,101
Citroen,C3 5DR HATCH 2017,60,80,96
Citroen,C3 AIRCROSS 5DR SALOON 2019,72,86,95
Citroen,C3 PURETECH 110 STOP&START RED BLOCK 5DR HATCH 2015,74,87,99
Citroen,C4 CACTUS 5DR SALOON 2019,81,79,97
Citroen,C4 CACTUS BLUEHDI 100 STOP&START FEEL 5DR SALOON 2016,80,80,95
Citroen,C4 PICASSO PURETECH 130 STOP&START SELECTION 5DR MPV 2016,92,89,102
Citroen,C5 AIRCROSS 5DR SALOON 2019,100,87,87
Citroen,C5 CROSSTOURER HDI 165 FAP5DR ESTATE 2015,108,77,110
Volkswagen,CADDY 1.4 5DR SALOON 2019,106,114,112
Volkswagen,CADDY 2.0 TDI BLUEMOTION TRENDLINE 5DR SALOON 2015,106,114,112
Cadillac,CTS SPORT LUXURY AUTOMATIC 3.6 V6 4DR SALOON 2008,106,47,89
Chevrolet,CAMARO 2DR COUPE 2018,99,45,69
Toyota,CAMRY 2.5 HYBRID 4DR SALOON 2019,116,51,107
Renault,CAPTUR 5DR SALOON 2016,79,91,71
Renault,CAPTUR 5DR SALOON 2019,66,87,100
Renault,CAPTUR 5DR SALOON 2020,48,82,98
Renault,CAPTUR ENERGY TCE 120 5DR SALOON 2017,66,87,100
Renault,CAPTUR ENERGY TCE 90 INTENS 5DR SALOON 2018,66,87,100
Renault,CAPTUR TCE 5DR SALOON 2020,105,67,99
KIA,CARENS 1.6 GDI DREAM TEAM EDITION 5DR MPV 2014,100,78,108
KIA,CARENS 1.7 CRDI SPIRIT 5DR MPV 2015,34,78,102
KIA,CEE D 1.0 T-GDI 120 GT LINE 5DR HATCH 2016,76,73,103
KIA,CEED 1.4 5DR HATCH 2018,78,74,93
KIA,CEED 1.6 5DR HATCH 2018,78,74,93
KIA,CEED GT 5DR HATCH 2020,78,74,93
KIA,CEED SPORTSWAGON 1.6 5DR ESTATE 2019,108,69,102
KIA,CEED SPORTSWAGON 1.6 5DR ESTATE 2020,108,69,102
KIA,CEED SPORTSWAGON PLUG-IN HYBRID 5DR ESTATE 2020,115,80,100
Suzuki,CELERIO 1.0 COMFORT 5DR HATCH 2015,62,87,98
Chevrolet,AVEO 1.4 LT+ 5DR HATCH 2011,60,70,92
Chevrolet,AVEO LS 1.2 5DR HATCH 2008,60,82,97
Chevrolet,AVEO LS LPG 1.2 3DR HATCHBACK 2009,60,82,97
Chevrolet,CAMARO CABRIOLET 6.2 V8 318KW 432 PS 2DR CONVERTIBLE 2013,89,34,120
Chevrolet,CAPTIVA 2.4 LT 2WD 5DR 4X4 2011,27,82,96
Chevrolet,CAPTIVA LTZ 4WD 2.2 D 5DR 4X4 2011,27,82,96
Chevrolet,CAPTIVA SPORT 2.0 CRDI 5DR 4X4 2008,27,82,96
Chevrolet,CRUZE 2.0D 5DR HATCH 2011,84,79,102
Chevrolet,CRUZE LS 1.6 4DR SALOON 2009,100,49,95
Chevrolet,CRUZE STATION WAGON LTZ 1.4T 103KW 5DR ESTATE 2012,106,73,102
Chevrolet,KALOS SE 1.2 5DR HATCH,59,83,96
Chevrolet,LACETTI SX 1.6 5DR ESTATE,98,72,95
Chevrolet,LACETTI SX 1.6 5DR HATCH,65,77,98
Chevrolet,NEW MATIZ 1.0 5DR HATCH,57,85,91
Chevrolet,ORLANDO LTZ 2.0 D 4DR MPV 2011,23,74,103
Chevrolet,SPARK LS 1.0 5DR HATCH 2010,52,82,97
Chevrolet,TACUMA SX 1.6 5DR MPV,80,88,115
Chevrolet,TRAX LT 1.4 103KW 140 PS 5DR 4X4 2013,71,79,100
Chevrolet,YPSILON PLATINUM 0.9 TWINAIR TURBO 8V 5DR HATCH 2011,57,82,94
Chrysler,GRAND VOYAGER 2.8 CRD 5DR MPV 2008,62,100,124
Chrysler,GRAND VOYAGER LIMITED CRD 2.8 5DR MPV,59,121,105
Chrysler,PT CRUISER TOURING 2.4 5DR HATCH,70,94,95
Chrysler,SEBRING CABRIO HARD TOP LIMITED 2.0 CRD 2DR CONVERTIBLE 2008,83,54,96
Chrysler,THEMA EXECUTIVE AUTOMATIC 3.0 V6 CRD 24V 4DR SALOON 2012,112,46,82
Chrysler,VOYAGER LX CRD 2.8 5DR MPV,70,102,123
Citroen,BERLINGO 1.6 16V 5DR ESTATE 2008,82,112,116
Citroen,BERLINGO HDI DESIRE MULTISPACE 2.0 5DR ESTATE,84,107,118
Citroen,BERLINGO MULTISPACE EXCLUSIVE HDI 110 FAP 2.2 5DR ESTATE 2008,82,112,116
Citroen,BERLINGO MULTISPACE EXCLUSIVE HDI 115 1.6 84KW 5DR ESTATE 2013,93,100,120
Citroen,BERLINGO MULTISPACE HDI 110 FAP 1.6 5DR MPV 2010,24,105,111
Citroen,C1 AIRSCAPE PURETECH 82 FEEL 5DR HATCH 2014,46,81,101
Citroen,C1 RHYTHM 1.0 3DR HATCH,47,81,101
Citroen,C1 RHYTHM 1.0 5DR HATCH,47,81,101
Citroen,C2 FURIO 1.4 3DR HATCH,46,87,99
Citroen,C2 STYLE 1.1 3DR HATCH 2008,43,87,103
Citroen,C3 ADVANCE 1.4 5DR HATCH 2010,74,86,95
Citroen,C3 EXCLUSIVE VTI 95 5DR HATCH 2010,74,86,95
Citroen,C3 HDI VTR 1.6 5DR HATCH,70,92,103
Citroen,C3 PICASSO EXCLUSIVE 1.4 VTI 95 5DR MPV 2009,84,82,101
Citroen,C3 PICASSO EXCLUSIVE 90 FAP 1.6 HDI 5DR MPV 2011,71,82,101
